recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc,image
fulongsi,伏龙寺,fulongsi,fulongsi,伏龙寺,妖界,地点,,,
jisai,祭赛国,fulongsi,fulongsi,伏龙寺,人间,地点,金光寺所在,四夷朝贡之地,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/祭赛国.png
jisai_1,万圣公主,jisai,fulongsi,伏龙寺,妖界,妖后,万圣龙女,偷九叶灵芝草,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/万圣公主.png
jisai_2,万圣龙王,jisai,fulongsi,伏龙寺,妖界,妖王,碧波潭主,偷盗佛宝,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/万圣龙王.png
jisai_3,九头虫,jisai,fulongsi,伏龙寺,妖界,妖王,九头虫,神通广大,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/九头虫.png
jisai_5,受屈僧人,jisai,fulongsi,伏龙寺,人间,凡人,金光寺和尚,被冤枉拷打,
jisai_7,奔波儿灞,jisai,fulongsi,伏龙寺,妖界,小妖,鲇鱼怪,巡塔被捉,
jisai_14,灞波儿奔,jisai,fulongsi,伏龙寺,妖界,小妖,黑鱼精,巡塔被捉,
jisai_17,祭赛国王,jisai,fulongsi,伏龙寺,人间,人间·帝王,祭赛国王,冤枉众僧,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/祭赛国王.png
jisai_19,金光寺,jisai,fulongsi,伏龙寺,人间,地点,宝塔所在,舍利子佛宝被偷,
tongtianhe,通天河/晒经石,fulongsi,fulongsi,伏龙寺,其他,地点,,,
tongtianhe_2,大白龟,tongtianhe,fulongsi,伏龙寺,其他,其他,,西游记中的角色，出现在取经路上。,
fulongsi,伏龙寺,fulongsi,fulongsi,伏龙寺,灵山,地点,原金光寺,佛宝还朝后敕改伏龙寺,
fulongsi_1,伏龙寺僧人,fulongsi,fulongsi,伏龙寺,人间,人间·僧人,伏龙寺僧人,人间角色，伏龙寺僧人，在取经路上与唐僧师徒相遇。,
jinguangsi,金光寺（伏龙寺）,fulongsi,fulongsi,伏龙寺,其他,地点,,,
chenjiazhuang,陈家庄,fulongsi,fulongsi,伏龙寺,人间,地点,,通天河畔村庄,
chenjiazhuang_5,陈家庄百姓,chenjiazhuang,fulongsi,伏龙寺,其他,其他,,西游记中的角色，出现在取经路上。,
chenjiazhuang_6,陈澄,chenjiazhuang,fulongsi,伏龙寺,其他,其他,,西游记中的角色，出现在取经路上。,
jisai_10,小和尚,jisai,fulongsi,伏龙寺,人间,凡人,祭赛国僧人,被冤枉拷打,
jisai_18,祭赛国国王,jisai,fulongsi,伏龙寺,人间,人间·帝王,祭赛国王,误怪僧人盗宝,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/祭赛国国王.png
