recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc,image
gaolao,高老庄,gaolao,gaolao,高老庄,妖界,地点,,,
gaolao,高老庄,gaolao,gaolao,高老庄,人间,地点,猪八戒入赘地,猪八戒曾在此入赘为婿,
gaolao_3,猪八戒,gaolao,gaolao,高老庄,其他,其他,,原天蓬元帅，因醉酒调戏嫦娥被贬错投猪胎，好色贪吃但关键时刻仍能发挥作用。,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E7%8C%AA%E5%85%AB%E6%88%92.png
gaolao_4,猪八戒/猪悟能,gaolao,gaolao,高老庄,人间,净坛使者,原天蓬元帅,入赘三年后被收服,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E7%8C%AA%E5%85%AB%E6%88%92_%E7%8C%AA%E6%82%9F%E8%83%BD.png
gaolao_5,玉兰,gaolao,gaolao,高老庄,人间,人间·女子,高太公二女儿,已嫁本庄人家,
gaolao_6,翠兰,gaolao,gaolao,高老庄,人间,人间·女子,高太公三女儿,被猪八戒关在后宅,
gaolao_8,香兰,gaolao,gaolao,高老庄,人间,人间·女子,高太公大女儿,已嫁本庄人家,
gaolao_9,高太公,gaolao,gaolao,高老庄,人间,人间·富豪,高老庄庄主,欲退亲请法师降妖,
gaolao_10,高才,gaolao,gaolao,高老庄,人间,人间·仆人,高家佣人,奉命寻访法师,
gaolao_11,高玉兰,gaolao,gaolao,高老庄,其他,其他,,西游记中的角色，出现在取经路上。,
gaolao_12,高翠兰,gaolao,gaolao,高老庄,其他,其他,,西游记中的角色，出现在取经路上。,
gaolao_13,高香兰,gaolao,gaolao,高老庄,其他,其他,,西游记中的角色，出现在取经路上。,
liushahe,流沙河,gaolao,gaolao,高老庄,人间,地点,沙僧等候地,八百里流沙界弱水深,
fuling,福陵山云栈洞,gaolao,gaolao,高老庄,人间,地点,猪八戒住处,猪八戒被贬后在此栖身,
