recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc,image
lingshan,灵山,lingshan,lingshan,灵山,灵山,地点,,,
lingshan,灵山,lingshan,lingshan,灵山,灵山,地点,佛祖说法圣地,凌云渡、彼岸与取经终点,
lingshan_1,三千诸佛,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_2,三千谒谛,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_3,五百罗汉,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_4,五百阿罗,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_5,伏虎罗汉,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_6,优婆塞,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_7,优婆夷,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_8,伽叶,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_9,八大菩萨,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_10,八大金刚,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_11,八金刚,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_13,十一大曜,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_14,十八伽蓝,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_15,南无宝幢光王佛,lingshan,lingshan,灵山,其他,其他,,西游记中的国王，掌管灵山。,
lingshan_17,四菩萨,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_18,地藏菩萨,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_19,大势至菩萨,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_20,如来佛祖,lingshan,lingshan,灵山,灵山,佛教·至尊,释迦牟尼佛,西游记绝对实力的天花板，一掌压住悟空，取经八十一难的总设计师。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/如来佛祖.png
lingshan_22,弥勒菩萨,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_23,文殊菩萨,lingshan,lingshan,灵山,其他,其他,,坐骑青毛狮子两次下凡作怪，乌鸡国和狮驼岭。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/文殊菩萨.png
lingshan_24,普贤菩萨,lingshan,lingshan,灵山,其他,其他,,佛教四大菩萨之一，坐骑黄牙老象。在狮驼岭曾下凡作怪。,https://maas-watermark-prod-new.cn-wlcb.ufileos.com/20260329230517c5b0b83ab3ecfb1_watermark.png?UCloudPublicKey=TOKEN_6df395df-5d8c-4f69-90f8-a4fe46088958&Signature=phGLPpbnzHPszLxVRJ%2FScFrHhQ%3D&Expires=1775401544
lingshan_25,比丘僧,lingshan,lingshan,灵山,其他,其他,,西游记中的僧人，在灵山修行。,
lingshan_26,比丘尼,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_28,游奕灵官,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_30,白马(八部天龙马),lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_31,翊圣真君,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_32,虚空藏菩萨,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_33,观音菩萨,lingshan,lingshan,灵山,其他,其他,,出场最多的佛界角色，取经项目的项目经理，佛道两界最重要的桥梁人物。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/观音菩萨.png
lingshan_34,金刚手菩萨,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_35,阿傩,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_36,降龙罗汉,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_37,魔礼寿,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_38,魔礼海,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_39,魔礼红,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_40,魔礼青,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
lingshan_41,黄眉大王,lingshan,lingshan,灵山,其他,其他,,西游记中的国王，掌管灵山。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/黄眉大王.png
difu_2,六耳猕猴,lingshan,lingshan,灵山,其他,其他,,西游记中的角色，出现在取经路上。,
