recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc,image
lingxiao,凌霄宝殿,lingxiao,lingxiao,凌霄宝殿,天庭,地点,,,
guanjiangkou,灌江口,lingxiao,lingxiao,凌霄宝殿,天庭,地点,,二郎神杨戬道场,
guanjiangkou_1,二郎神,guanjiangkou,lingxiao,凌霄宝殿,天庭,天仙·战将,二郎显圣真君,西游记中的角色，二郎显圣真君。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E4%BA%8C%E9%83%8E%E7%A5%9E.png
guanjiangkou_2,姚太尉,guanjiangkou,lingxiao,凌霄宝殿,其他,其他,,西游记中的将领，武艺高强。,
guanjiangkou_3,康太尉,guanjiangkou,lingxiao,凌霄宝殿,其他,其他,,西游记中的将领，武艺高强。,
guanjiangkou_4,张太尉,guanjiangkou,lingxiao,凌霄宝殿,其他,其他,,西游记中的将领，武艺高强。,
guanjiangkou_5,李太尉,guanjiangkou,lingxiao,凌霄宝殿,其他,其他,,西游记中的将领，武艺高强。,
guanjiangkou_6,直健将军,guanjiangkou,lingxiao,凌霄宝殿,其他,其他,,西游记中的将领，武艺高强。,
guanjiangkou_7,郭申将军,guanjiangkou,lingxiao,凌霄宝殿,其他,其他,,西游记中的将领，武艺高强。,
kongzhong,空中,lingxiao,lingxiao,凌霄宝殿,天庭,地点,,云端飞行途中,
kongzhong_1,丁丑神赵子玉,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_2,丁亥神张文通,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_3,丁卯神司马卿,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_4,丁巳神崔巨卿,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_5,丁未神叔通卿,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_6,丁酉神臧文公,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_7,九头虫,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E4%B9%9D%E5%A4%B4%E8%99%AB.png
kongzhong_9,五方谒谛,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_10,八大金刚,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_11,六甲六丁,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_12,哪吒,kongzhong,lingxiao,凌霄宝殿,天庭,天仙·武将,三坛海会大神,天庭最强少年战神，三头六臂，脚踏风火轮，降服牛魔王一战最为精彩。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%93%AA%E5%90%92.png
kongzhong_14,土地神,kongzhong,lingxiao,凌霄宝殿,其他,其他,,出场率极高的基层神仙，悟空最常用的情报来源。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%9C%9F%E5%9C%B0%E7%A5%9E.png
kongzhong_17,寿星,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%AF%BF%E6%98%9F.png
kongzhong_18,小白龙,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_19,年值功曹,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_23,惠岸行者,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_26,日值功曹,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_27,时值功曹,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_28,月值功曹,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_33,牛魔王,kongzhong,lingxiao,凌霄宝殿,妖界,妖王,平天大圣,西游记中的妖王，平天大圣，曾在取经路上阻拦唐僧师徒。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E7%89%9B%E9%AD%94%E7%8E%8B.png
kongzhong_35,甲午神卫玉卿,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_36,甲子神王文卿,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的国王，掌管凌霄宝殿。,
kongzhong_37,甲寅神明文章,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_38,甲戌神展子江,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_39,甲申神扈文长,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_40,甲辰神孟非卿,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_41,白鹿精,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
kongzhong_44,赛太岁,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E8%B5%9B%E5%A4%AA%E5%B2%81.png
kongzhong_47,铁扇公主,kongzhong,lingxiao,凌霄宝殿,妖界,妖后,罗刹女,西游记中的公主，凌霄宝殿之女。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E9%93%81%E6%89%87%E5%85%AC%E4%B8%BB.png
kongzhong_49,黄眉大王,kongzhong,lingxiao,凌霄宝殿,其他,其他,,西游记中的国王，掌管凌霄宝殿。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E9%BB%84%E7%9C%89%E5%A4%A7%E7%8E%8B.png
nantianmen,南天门,lingxiao,lingxiao,凌霄宝殿,天庭,地点,,天庭正门,
nantianmen_2,增长天王,nantianmen,lingxiao,凌霄宝殿,其他,其他,,西游记中的国王，掌管凌霄宝殿。,
nantianmen_3,太白金星,nantianmen,lingxiao,凌霄宝殿,天庭,天仙·文臣,玉帝殿前文臣,天庭中最有职场智慧的神仙，两次建议招安悟空，堪称天庭情报总管。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%A4%AA%E7%99%BD%E9%87%91%E6%98%9F.png
nantianmen_5,广目天王,nantianmen,lingxiao,凌霄宝殿,其他,其他,,西游记中的国王，掌管凌霄宝殿。,
nantianmen_6,张道陵,nantianmen,lingxiao,凌霄宝殿,其他,其他,,道教创始人之一，四大天师之首，在凌霄殿传达玉帝旨意。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%BC%A0%E9%81%93%E9%99%B5.png
nantianmen_7,托塔天王李靖,nantianmen,lingxiao,凌霄宝殿,天庭,天仙·武将,降魔大元帅,天庭军事统帅，奉命征讨悟空。玲珑宝塔是其标志性法宝。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E6%89%98%E5%A1%94%E5%A4%A9%E7%8E%8B%E6%9D%8E%E9%9D%96.png
nantianmen_8,朱灵官,nantianmen,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
nantianmen_9,殷灵官,nantianmen,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
nantianmen_10,玉皇大帝,nantianmen,lingxiao,凌霄宝殿,天庭,天仙·至尊,昊天金阙无上至尊,三界之主，天庭行政系统最高长官。能调兵遣将征讨悟空，却打不过。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E7%8E%89%E7%9A%87%E5%A4%A7%E5%B8%9D.png
nantianmen_11,萨守坚,nantianmen,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
nantianmen_12,葛玄,nantianmen,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
nantianmen_13,许旌阳,nantianmen,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
nantianmen_14,许灵官,nantianmen,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
nantianmen_15,陶灵官,nantianmen,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
dongtianmen_guangming,东天门光明宫,lingxiao,lingxiao,凌霄宝殿,其他,地点,,,
dongtianmen_guangming_2,昴日星官,dongtianmen_guangming,lingxiao,凌霄宝殿,其他,其他,,现出六七尺高大公鸡本相后，两声鸡叫便降服了蝎子精。,
lingxiao,凌霄宝殿,lingxiao,lingxiao,凌霄宝殿,天庭,地点,天庭正殿,天庭正殿，玉皇大帝临朝理政之所,
lingxiao_1,三清,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·至尊,道教三清,道统至尊，超越行政权力,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E4%B8%89%E6%B8%85.png
lingxiao_3,元始天尊,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·至尊,玉清元始天尊,道教第一神，开天辟地之祖,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%85%83%E5%A7%8B%E5%A4%A9%E5%B0%8A.png
lingxiao_5,太上老君,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·至尊,道德天尊·太上道祖,道教创始人，住在离恨天兜率宫,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%A4%AA%E4%B8%8A%E8%80%81%E5%90%9B.png
lingxiao_9,武将系统,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·武将,天庭武将,天庭军事力量,
lingxiao_10,灵宝天尊,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·至尊,上清灵宝天尊,三清体系的第二位,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E7%81%B5%E5%AE%9D%E5%A4%A9%E5%B0%8A.png
lingxiao_12,王母娘娘,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·后妃,瑶池金母·蟠桃掌管者,住在瑶池，掌管蟠桃园和蟠桃胜会,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E7%8E%8B%E6%AF%8D%E5%A8%98%E5%A8%98.png
lingxiao_13,王灵官,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·佐使,佑圣真君佐使,大闹天宫时于灵霄殿外挡住悟空,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E7%8E%8B%E7%81%B5%E5%AE%98.png
lingxiao_15,葛洪,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·天师,抱朴子·四大天师之二,晋代著名道士、炼丹家,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E8%91%9B%E6%B4%AA.png
lingxiao_18,许逊,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·天师,净明道祖·四大天师之三,晋代道士,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E8%AE%B8%E9%80%8A.png
lingxiao_19,邱弘济,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·天师,四大天师之四,玉帝近臣,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E9%82%B1%E5%BC%98%E6%B5%8E.png
xitianmen,西天门外,lingxiao,lingxiao,凌霄宝殿,其他,地点,,,
tianting,天庭,lingxiao,lingxiao,凌霄宝殿,天庭,地点,,玉皇大帝所居，三十三天之上,
tianting_1,三十六雷将,tianting,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
tianting_2,丑牛,tianting,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
tianting_3,东岳泰山,tianting,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
tianting_4,东斗星君,tianting,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
tianting_5,中岳嵩山,tianting,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
tianting_6,井木犴,tianting,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
tianting_7,亢金龙,tianting,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
tianting_8,亥猪,tianting,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
tianting_9,佑圣真君,tianting,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
tianting_11,北岳恒山,tianting,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
tianting_12,北斗星君,tianting,lingxiao,凌霄宝殿,其他,其他,,西游记中的角色，出现在取经路上。,
tianting_13,千里眼,tianting,lingxiao,凌霄宝殿,其他,其他,,与顺风耳搭档，能看千里之外，大闹天宫时负责侦察悟空动向。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%8D%83%E9%87%8C%E7%9C%BC.png
