recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc,image
putuo,普陀山,putuo,putuo,普陀山,灵山,地点,,,
yingchoujian,蛇盘山鹰愁涧,putuo,putuo,普陀山,人间,地点,,小白龙等候取经人处,
yingchoujian_1,丁丑神赵子玉,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_2,丁亥神张文通,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_3,丁卯神司马卿,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_4,丁巳神崔巨卿,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_5,丁未神叔通卿,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_6,丁酉神臧文公,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_7,十八伽蓝,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_11,小白龙,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_14,摩诃揭谛,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_18,波罗僧揭谛,yingchoujian,putuo,普陀山,其他,其他,,西游记中的僧人，在普陀山修行。,
yingchoujian_19,波罗揭谛,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_20,甲午神卫玉卿,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_21,甲子神王文卿,yingchoujian,putuo,普陀山,其他,其他,,西游记中的国王，掌管普陀山。,
yingchoujian_22,甲寅神明文章,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_23,甲戌神展子江,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_24,甲申神扈文长,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_25,甲辰神孟非卿,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_26,观音菩萨,yingchoujian,putuo,普陀山,灵山,佛教·菩萨,南海观世音,出场最多的佛界角色，取经项目的项目经理，佛道两界最重要的桥梁人物。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/观音菩萨.png
yingchoujian_27,金头揭谛,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
yingchoujian_28,银头揭谛,yingchoujian,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
putuo,普陀山,putuo,putuo,普陀山,灵山,地点,观音道场,观世音菩萨应化道场,
putuo_3,惠岸行者,putuo,putuo,普陀山,其他,其他,,西游记中的角色，出现在取经路上。,
putuo_5,沙僧（沙悟净）,putuo,putuo,普陀山,人间,金身罗汉,原卷帘大将,原天庭卷帘大将，因打碎琉璃盏被贬流沙河，性格老实忠厚任劳任怨。,
putuo_7,白龙马,putuo,putuo,普陀山,人间,八部天龙,西海三太子,西海龙王三太子，因纵火烧毁殿上明珠，经观音点化化为白马载唐僧西行。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/白龙马.png
guanyin_chanyuan,观音禅院,putuo,putuo,普陀山,人间,地点,观音下院,金池长老住持的寺院,
guanyin_chanyuan_4,广智,guanyin_chanyuan,putuo,普陀山,人间,人间·僧人,小和尚,献计杀唐僧师徒,
guanyin_chanyuan_6,广谋,guanyin_chanyuan,putuo,普陀山,人间,人间·僧人,小和尚,献计放火烧禅堂,
guanyin_chanyuan_7,金池长老,guanyin_chanyuan,putuo,普陀山,人间,人间·僧人,观音禅院住持,二百七十岁贪图袈裟自尽,
guanyin_chanyuan_8,黑熊精,guanyin_chanyuan,putuo,普陀山,黑风山,妖魔,黑风洞主,趁火打劫偷袈裟,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/黑熊精.png
