recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc,image
tianzhu,天竺国,tianzhu,tianzhu,天竺国,妖界,地点,,,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%A4%A9%E7%AB%BA%E5%9B%BD.png
tianzhu_jie,天竺国彩楼/街道,tianzhu,tianzhu,天竺国,其他,地点,,,
tianzhu_jie_3,玉兔精,tianzhu_jie,tianzhu,天竺国,其他,其他,,西游记中的角色，出现在取经路上。,
tianzhu,天竺国,tianzhu,tianzhu,天竺国,人间,地点,玉兔假扮公主,欲配唐僧,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%A4%A9%E7%AB%BA%E5%9B%BD.png
tianzhu_2,天竺公主,tianzhu,tianzhu,天竺国,妖界,人间·公主,玉兔假扮,抛绣球招亲,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%A4%A9%E7%AB%BA%E5%85%AC%E4%B8%BB.png
tianzhu_3,天竺国国王,tianzhu,tianzhu,天竺国,其他,其他,,西游记中的国王，掌管天竺国。,
tianzhu_4,天竺国王,tianzhu,tianzhu,天竺国,人间,人间·帝王,天竺国王,人间角色，天竺国王，在取经路上与唐僧师徒相遇。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%A4%A9%E7%AB%BA%E5%9B%BD%E7%8E%8B.png
tianzhu_guan,天竺国会同馆,tianzhu,tianzhu,天竺国,其他,地点,,,
tianzhu_gong,天竺国皇宫,tianzhu,tianzhu,天竺国,其他,地点,,,
bujinchan,布金禅寺,tianzhu,tianzhu,天竺国,人间,地点,,天竺国公主藏身处,
bujinchan_2,天竺国公主,bujinchan,tianzhu,天竺国,其他,其他,,西游记中的公主，天竺国之女。,
