recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc,image
wuji,乌鸡国,wuji,wuji,乌鸡国,妖界,地点,,,
biqiu,比丘国,wuji,wuji,乌鸡国,人间,地点,又名小子城,国王欲取小儿心肝,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E6%AF%94%E4%B8%98%E5%9B%BD.png
biqiu_10,国丈,biqiu,wuji,乌鸡国,妖界,妖王,白鹿精,老寿星脚力,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E5%9B%BD%E4%B8%88.png
biqiu_19,比丘国国王,biqiu,wuji,乌鸡国,人间,人间·帝王,比丘国王,昏庸无道,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E6%AF%94%E4%B8%98%E5%9B%BD%E5%9B%BD%E7%8E%8B.png
biqiu_30,白面狐狸,biqiu,wuji,乌鸡国,妖界,妖后,白面狐狸精,迷惑国王,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E7%99%BD%E9%9D%A2%E7%8B%90%E7%8B%B8.png
biqiu_31,白鹿精,biqiu,wuji,乌鸡国,其他,其他,,西游记中的角色，出现在取经路上。,
mieguo_1,灭法国王,wuji,wuji,乌鸡国,人间,人间·帝王,国王,杀和尚凑万数,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E7%81%AD%E6%B3%95%E5%9B%BD%E7%8E%8B.png
mieguo_2,赵寡妇,wuji,wuji,乌鸡国,人间,人间·平民,店主,唐僧师徒化装投宿其店,
baolinsi,宝林寺,wuji,wuji,乌鸡国,人间,地点,,乌鸡国国王鬼魂托梦处,
baolinsi_1,众僧,baolinsi,wuji,乌鸡国,其他,其他,,西游记中的僧人，在乌鸡国修行。,
baolinsi_2,院主,baolinsi,wuji,乌鸡国,其他,其他,,西游记中的角色，出现在取经路上。,
wuji,乌鸡国,wuji,wuji,乌鸡国,人间,地点,西境小国,真王被妖道推入御花园井中三年,
wuji_1,乌鸡国国王,wuji,wuji,乌鸡国,其他,其他,,西游记中的国王，掌管乌鸡国。,
wuji_3,夜游神,wuji,wuji,乌鸡国,其他,其他,,天庭巡逻体系之神，夜间巡视三界，记录人间善恶。,https://maas-watermark-prod-new.cn-wlcb.ufileos.com/20260329230407a7586999e9cb6e6_watermark.png?UCloudPublicKey=TOKEN_6df395df-5d8c-4f69-90f8-a4fe46088958&Signature=zRHHv9nDhqkE%2FPfKDfI%2FPK2%2BI4%3D&Expires=1775401474
wuji_4,娘娘（皇后）,wuji,wuji,乌鸡国,其他,其他,,西游记中的角色，出现在取经路上。,
wuji_8,狮猁王,wuji,wuji,乌鸡国,其他,其他,,西游记中的国王，掌管乌鸡国。,
biqiu_gong,比丘国皇宫,wuji,wuji,乌鸡国,其他,地点,,,
wuji_gong,乌鸡国皇宫,wuji,wuji,乌鸡国,其他,地点,,,
miefa_gong,灭法国皇宫,wuji,wuji,乌鸡国,其他,地点,,,
miefa_gong_1,五府六部官员,miefa_gong,wuji,乌鸡国,其他,其他,,西游记中的角色，出现在取经路上。,
miefa_gong_5,灭法国国王,miefa_gong,wuji,乌鸡国,其他,其他,,西游记中的国王，掌管乌鸡国。,
miefa_gong_7,皇后,miefa_gong,wuji,乌鸡国,其他,其他,,西游记中的角色，出现在取经路上。,
miefa_jie,灭法国城中/王二小店,wuji,wuji,乌鸡国,其他,地点,,,
