recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc,image
youming,幽冥界,youming,youming,幽冥界,地府,地点,,,
bajiao,八角琉璃井,youming,youming,幽冥界,其他,地点,,,
difu,阴间地府,youming,youming,幽冥界,地府,地点,,十殿阎罗所在,
difu_1,五官王,difu,youming,幽冥界,其他,其他,,十殿阎王之四，掌管合大地狱，又称血池地狱。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/五官王.png
difu_3,卞城王,difu,youming,幽冥界,其他,其他,,十殿阎王之六，掌管大叫唤大地狱及枉死城。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/卞城王.png
difu_4,地藏王,difu,youming,幽冥界,其他,其他,,西游记中的国王，掌管幽冥界。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/地藏王.png
difu_6,宋帝王,difu,youming,幽冥界,其他,其他,,十殿阎王之三，掌管黑绳大地狱，惩罚忤逆不孝者。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/宋帝王.png
difu_8,平等王,difu,youming,幽冥界,其他,其他,,十殿阎王之九，掌管阿鼻地狱（无间地狱），最恐怖的一殿。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/平等王.png
difu_9,楚江王,difu,youming,幽冥界,其他,其他,,十殿阎王之二，掌管活大地狱，又称剥衣亭寒冰地狱。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/楚江王.png
difu_10,泰山王,difu,youming,幽冥界,其他,其他,,十殿阎王之七，掌管热恼地狱。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/泰山王.png
difu_11,秦广王,difu,youming,幽冥界,其他,其他,,十殿阎王之首，掌管人间寿夭生死册。亡魂到地府后首先在此接受初审。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/秦广王.png
difu_12,转轮王,difu,youming,幽冥界,其他,其他,,十殿阎王之末，掌管六道轮回投生。亡魂经十殿审判后在此投胎转世。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/转轮王.png
difu_13,都市王,difu,youming,幽冥界,其他,其他,,十殿阎王之八，掌管大热恼地狱。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/都市王.png
difu_14,金衣童子,difu,youming,幽冥界,其他,其他,,西游记中的角色，出现在取经路上。,
difu_15,阎罗王,difu,youming,幽冥界,其他,其他,,十殿阎王中最著名的一位，几乎成为地府的代名词。,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/阎罗王.png
youming,幽冥地府,youming,youming,幽冥界,地府,地点,十殿阎罗所在,十殿阎罗、生死簿所在,
youming_2,判官崔玏,youming,youming,幽冥界,地府,地府·文官,地府判官,掌管生死簿,
youming_3,十殿阎王,youming,youming,幽冥界,地府,地府·殿主,十殿阎王,掌管地狱各殿,
youming_13,牛头,youming,youming,幽冥界,地府,地府·差役,地府狱卒·牛头,人身牛首,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/牛头.png
youming_14,白无常（谢必安）,youming,youming,幽冥界,地府,地府·差役,勾魂使者·白无常,帽上写'一见生财',https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/白无常（谢必安）.png
youming_19,马面,youming,youming,幽冥界,地府,地府·差役,地府狱卒·马面,人身马首,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/马面.png
youming_20,黑无常（范无救）,youming,youming,幽冥界,地府,地府·差役,勾魂使者·黑无常,帽上写'天下太平',https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/黑无常（范无救）.png
